ID	X	Y	Entry	Exit	Next	EntryNext	PointType	Title	Note	起步事件 0 掷骰子或卡片	落地事件 -1 一般事件	Info 金钱/加薪/快乐值/名誉值/经验卡/机会卡	备注
59	14.5	6.5	0	0	60	60	2	职业事件	得导演欣赏，获得2张机会卡。	0	100	0/0/0/0/0/2	
60	13.5	6.5	0	0	61	61	2	职业事件	与外国王子或公主结婚，获得2点快乐值和6点名誉值。	0	100	0/0/2/6/0/0	
61	13.5	5.5	0	0	62	62	2	职业事件	签电视合约，加薪1000元。	0	100	0/1000/0/0/0/0	
62	13.5	4.5	0	0	63	63	2	职业事件	影迷信件减少，减薪50%。	0	28	0/0/0/0/0/0	
63	14.5	4.5	0	0	64	64	2	职业事件	制造桃色新闻，获得10点名誉值，但失去所有快乐值。	0	29	0/0/0/0/0/0	
64	15.5	4.5	0	0	65	65	2	职业事件	成为电影明星，加薪1000元乘以1只骰子所掷之数。	0	30	0/0/0/0/0/0	
65	15.5	3.5	0	0	11	11	2	职业事件	得金像奖，获得2点名誉值。	0	100	0/0/0/2/0/0	
66	16.5	11.5	0	0	67	67	2	职业事件	初步失败，进公园坐板凳。	0	31	0/0/0/0/0/0	
67	15.5	11.5	0	0	68	68	2	职业事件	竞选议员，获得2张机会卡。	0	100	0/0/0/0/0/2	
68	14.5	11.5	0	0	69	69	2	职业事件	代表选民在议会发言，得到4点名誉值。	0	100	0/0/0/4/0/0	
69	13.5	11.5	0	0	70	70	2	职业事件	评判中国小姐选美，得到6点快乐值。	0	100	0/0/6/0/0/0	
70	13.5	10.5	0	0	71	71	2	职业事件	当选市长，获得2张经验卡。	0	100	0/0/0/0/2/0	
71	13.5	9.5	0	0	72	72	2	职业事件	出任大使，鉴定条约，获得6点名誉值。	0	100	0/0/0/6/0/0	
72	13.5	8.5	0	0	73	73	2	职业事件	任最高法院法官，获得4点快乐值和2点名誉值。	0	100	0/0/4/2/0/0	
73	14.5	8.5	0	0	74	74	2	职业事件	审判案件，获得8点名誉值。	0	100	0/0/0/8/0/0	
74	15.5	8.5	0	0	75	75	2	职业事件	出售回忆录，获得10000元和4点名誉值。	0	100	10000/0/0/4/0/0	1000 改为 10000
75	15.5	9.5	0	0	76	76	2	职业事件	遭到部分选民反对，失去50%名誉值。	0	32	0/0/0/0/0/0	
76	16.5	9.5	0	0	29	29	2	职业事件	获得全部选民支持，获得12点名誉值。	0	100	0/0/0/12/0/0	
77	13.5	16.5	0	0	78	78	2	职业事件	第一天晕船，进入医院。	0	33	0/0/0/0/0/0	
78	13.5	15.5	0	0	79	79	2	职业事件	欣赏南太平洋风光，获得2点快乐值。	0	100	0/0/2/0/0/0	
79	13.5	14.5	0	0	80	80	2	职业事件	发现海岛，获得2张机会卡。	0	100	0/0/0/0/0/2	
80	13.5	13.5	0	0	81	81	2	职业事件	遭遇台风，获得2张经验卡。	0	100	0/0/0/0/2/0	
81	14.5	13.5	0	0	82	82	2	职业事件	发现海底宝藏，得1000元乘以1只骰子所掷之数。	0	34	0/0/0/0/0/0	
82	15.5	13.5	0	0	83	83	2	职业事件	停泊大溪地，获得4点快乐值。	0	100	0/0/4/0/0/0	
83	15.5	14.5	0	0	84	84	2	职业事件	在海滨浴场游泳，获得6点快乐值。	0	100	0/0/6/0/0/0	
84	15.5	15.5	0	0	85	85	2	职业事件	遭遇海浪，失去下次前进机会。	0	35	0/0/0/0/0/0	
85	16.5	15.5	0	0	32	32	2	职业事件	离岸返航，获得2点快乐值。	0	100	0/0/2/0/0/0	
86	8.5	16.5	0	0	87	87	2	职业事件	学习经商，获得1张经验卡。	0	100	0/0/0/0/1/0	
87	8.5	15.5	0	0	88	88	2	职业事件	通过实习，获得2张机会卡。	0	100	0/0/0/0/0/2	
88	8.5	14.5	0	0	89	89	2	职业事件	工作努力得到上司欣赏，加薪1000元。	0	100	0/1000/0/0/0/0	
89	8.5	13.5	0	0	90	90	2	职业事件	与上司吵架，失去下次前进机会。	0	36	0/0/0/0/0/0	
90	9.5	13.5	0	0	91	91	2	职业事件	发明生产计划，获得2000元。	0	100	2000/0/0/0/0/0	
91	10.5	13.5	0	0	92	92	2	职业事件	升职，加薪2000元。	0	100	0/2000/0/0/0/0	
92	11.5	13.5	0	0	93	93	2	职业事件	处理重大交易，获得1张经验卡。	0	100	0/0/0/0/1/0	
93	11.5	14.5	0	0	94	94	2	职业事件	担任秘书，获得4点快乐值。	0	100	0/0/4/0/0/0	
94	11.5	15.5	0	0	95	95	2	职业事件	野心太大，进入公园坐板凳。	0	37	0/0/0/0/0/0	
95	10.5	15.5	0	0	96	96	2	职业事件	商业不景气，减薪50%。	0	38	0/0/0/0/0/0	
96	10.5	16.5	0	0	15	15	2	职业事件	当选董事，加薪3000元。	0	100	0/3000/0/0/0/0	
97	3.5	15.5	0	0	98	98	2	职业事件	养鸡，获得4点快乐值。	0	100	0/0/4/0/0/0	
98	4.5	15.5	0	0	99	99	2	职业事件	留级，失去下次前进机会。	0	39	0/0/0/0/0/0	
99	4.5	14.5	0	0	100	100	2	职业事件	考试成绩优异，获得2点快乐值。	0	100	0/0/2/0/0/0	
100	5.5	14.5	0	0	101	101	2	职业事件	领导学生活动，获得2点快乐值。	0	100	0/0/2/0/0/0	
101	6.5	14.5	0	0	102	102	2	职业事件	女朋友叔父成为富翁，获得2张机会卡。	0	100	0/0/0/0/0/2	
102	6.5	15.5	0	0	103	103	2	职业事件	参加运动会，获得6点名誉值。	0	100	0/0/0/6/0/0	
103	6.5	16.5	0	0	13	13	2	职业事件	优秀成绩毕业，获得2张机会卡。	0	100	0/0/0/0/0/2	
104	3.5	10.5	0	0	105	105	2	职业事件	春季气候良好，获得2点快乐值。	0	100	0/0/2/0/0/0	
105	4.5	10.5	0	0	106	106	2	职业事件	打谷，获得1张经验卡。	0	100	0/0/0/0/1/0	
106	5.5	10.5	0	0	107	107	2	职业事件	养鸡，获得2点快乐值。	0	100	0/0/2/0/0/0	
107	6.5	10.5	0	0	108	108	2	职业事件	第一季度收成，获得1000元乘以1只骰子所掷之数。	0	40	0/0/0/0/0/0	
108	6.5	11.5	0	0	109	109	2	职业事件	参加养猪比赛得奖，获得4点快乐值和2点名誉值。	0	100	0/0/4/2/0/0	
109	6.5	12.5	0	0	110	110	2	职业事件	耕牛生双胞胎小牛，获得6点快乐值。	0	100	0/0/6/0/0/0	
110	5.5	12.5	0	0	111	111	2	职业事件	秋季丰收，获得5000元。	0	100	5000/0/0/0/0/0	
111	4.5	12.5	0	0	112	112	2	职业事件	种植冬季作物，获得2点快乐值。	0	100	0/0/2/0/0/0	
112	3.5	12.5	0	0	23	23	2	职业事件	购买农业机械，花费50%现金。	0	41	0/0/0/0/0/0	
